,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att.1,Yds.1,Tgt,Rec,Yds.2,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
126,Ricky Watters,PHI,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,337.0,1273.0,93.0,62.0,434.0,7.0,6.0,3.0,0.0,0.0,0.0,1273.0,11.0,337.0,434.0,1.0,298.7
127,Tiki Barber,NYG,RB,31.0,16.0,16.0,0.0,0.0,0.0,0.0,327.0,1662.0,75.0,58.0,465.0,8.02,3.0,1.0,0.0,0.0,0.0,1662.0,5.0,327.0,465.0,0.0,298.7
128,Ted Brown,MIN,RB,24.0,16.0,16.0,0.0,1.0,0.0,1.0,274.0,1063.0,,83.0,694.0,8.36,3.0,0.0,0.0,0.0,1.0,1063.0,6.0,274.0,694.0,2.0,298.7
129,Ricky Watters,SEA,RB,31.0,16.0,16.0,0.0,0.0,0.0,0.0,278.0,1242.0,92.0,63.0,613.0,9.73,5.0,2.0,0.0,0.0,0.0,1242.0,7.0,278.0,613.0,2.0,298.5
130,Shaun Alexander,SEA,RB,24.0,16.0,12.0,0.0,0.0,0.0,0.0,309.0,1318.0,59.0,44.0,343.0,7.8,4.0,4.0,0.0,0.0,0.0,1318.0,14.0,309.0,343.0,2.0,298.1
131,Thurman Thomas,BUF,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,271.0,1297.0,,49.0,532.0,10.86,6.0,0.0,0.0,0.0,0.0,1297.0,11.0,271.0,532.0,2.0,297.9
132,Wilbert Montgomery,PHI,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,338.0,1512.0,,41.0,494.0,12.05,14.0,0.0,0.0,0.0,0.0,1512.0,9.0,338.0,494.0,5.0,297.6
133,Wilbert Montgomery,PHI,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,338.0,1512.0,,41.0,494.0,12.05,14.0,0.0,0.0,0.0,0.0,1512.0,9.0,338.0,494.0,5.0,297.6
134,Garrison Hearst,SFO,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,310.0,1570.0,56.0,39.0,535.0,13.72,4.0,3.0,0.0,0.0,0.0,1570.0,7.0,310.0,535.0,2.0,297.5
135,LeSean McCoy,PHI,RB,22.0,15.0,13.0,0.0,0.0,0.0,0.0,207.0,1080.0,91.0,78.0,592.0,7.59,2.0,1.0,0.0,0.0,0.0,1080.0,7.0,207.0,592.0,2.0,297.2
